instance\8_4_10.txt,0.009998798370361328,DG,0.0039980411529541016,0.0,0.0060007572174072266,15,2,3
instance\8_4_13.txt,0.42257237434387207,DG,0.40056777000427246,0.0010001659393310547,0.021004438400268555,16,3,5
instance\8_4_2.txt,0.006004810333251953,DG,0.0,0.0,0.006004810333251953,14,2,3
instance\8_4_21.txt,0.01799941062927246,DG,0.002999544143676758,0.0,0.014999866485595703,20,2,3
instance\8_4_22.txt,0.0050008296966552734,DG,0.0009999275207519531,0,0.00400090217590332,10,1,1
instance\8_4_23.txt,0.25600552558898926,DG,0.21800565719604492,0.004000425338745117,0.03399944305419922,22,4,7
instance\8_4_24.txt,0.042999982833862305,DG,0.016001224517822266,0.0010013580322265625,0.025997400283813477,20,4,7
instance\8_4_25.txt,0.026001930236816406,DG,0.001001119613647461,0.0030024051666259766,0.02199840545654297,17,6,11
instance\8_4_26.txt,0.06399154663085938,DG,0.04799199104309082,0.0,0.015999555587768555,18,3,5
instance\8_4_27.txt,0.006004810333251953,DG,0.0,0,0.006004810333251953,14,1,1
instance\8_4_29.txt,0.009001970291137695,DG,0.0,0.0010006427764892578,0.008001327514648438,18,2,3
instance\8_4_5.txt,0.01900029182434082,DG,0.0020008087158203125,0.0010006427764892578,0.01599884033203125,20,3,5
instance\8_4_7.txt,0.02399754524230957,DG,0.0050013065338134766,0.0009992122650146484,0.017997026443481445,19,3,5
instance\8_4_8.txt,0.29300618171691895,DG,0.2020101547241211,0.006999969482421875,0.08399605751037598,26,11,21
